date,Owners,Price,PriceChangeTo,discount
2015-04-23,498000,9.99,2.49,24.92
2015-04-27,502000,2.49,9.99,401.2
2015-06-11,543000,9.99,1.99,19.92
2015-06-12,547000,1.99,3.49,175.38
2015-06-22,555000,3.49,9.99,286.25
2015-10-29,589000,9.99,1.99,19.92
2015-11-02,587000,1.99,9.99,502.01
2015-11-25,593000,9.99,1.99,19.92
2015-12-01,589000,1.99,9.99,502.01
2015-12-22,611000,9.99,1.49,14.91
2016-01-04,624000,1.49,9.99,670.47
2016-02-05,672000,9.99,1.49,14.91
2016-02-12,645000,1.49,9.99,670.47
2016-05-30,664000,9.99,2.49,24.92
2016-06-01,666000,2.49,9.99,401.2
2016-06-23,654000,9.99,3.49,34.93
2016-07-05,651000,3.49,9.99,286.25
2017-08-14,724000,9.99,4.99,49.95
2017-08-21,727000,4.99,9.99,200.2
2017-10-26,716000,9.99,4.99,49.95
2017-11-01,704000,4.99,9.99,200.2
2017-11-22,697000,9.99,3.99,39.94
2017-11-28,701000,3.99,9.99,250.38
2017-12-21,711000,9.99,2.99,29.93
2018-01-05,699000,2.99,9.99,334.11
2018-06-21,624000,9.99,4.99,49.95
2018-07-05,625000,4.99,9.99,200.2
2018-09-10,621000,9.99,4.99,49.95
2018-09-17,621000,4.99,9.99,200.2
2020-01-23,509000,9.99,5.49,54.95
2020-01-27,488000,5.49,9.99,181.97
2020-06-25,496000,9.99,4.99,49.95
2020-07-09,495000,4.99,9.99,200.2
2022-01-26,478000,9.99,5.99,59.96
2022-02-02,322000,5.99,9.99,166.78
