date,Owners,Price,PriceChangeTo,discount
2015-09-15,14000,0.0,9.99,
2015-12-22,666000,9.99,7.99,79.98
2016-01-04,868000,7.99,9.99,125.03
2016-02-05,1153000,9.99,7.99,79.98
2016-02-12,1219000,7.99,9.99,125.03
2016-06-23,1658000,9.99,6.99,69.97
2016-07-04,1741000,6.99,9.99,142.92
2016-07-14,1793000,9.99,6.99,69.97
2016-07-18,1806000,6.99,9.99,142.92
2016-11-23,2115000,9.99,4.99,49.95
2016-11-29,2134000,4.99,9.99,200.2
2016-12-22,2247000,9.99,4.99,49.95
2017-01-02,2332000,4.99,9.99,200.2
2017-01-10,2383000,9.99,4.99,49.95
2017-01-13,2404000,4.99,9.99,200.2
2017-10-26,2964000,9.99,4.99,49.95
2017-11-01,2941000,4.99,9.99,200.2
2017-11-22,2996000,9.99,4.99,49.95
2017-11-28,2995000,4.99,9.99,200.2
2017-12-21,3070000,9.99,4.99,49.95
2018-01-04,3154000,4.99,9.99,200.2
2018-01-11,3159000,9.99,4.99,49.95
2018-01-15,3137000,4.99,9.99,200.2
2018-02-15,3160000,9.99,4.99,49.95
2018-02-19,3186000,4.99,9.99,200.2
2018-06-20,2898000,9.99,4.99,49.95
2018-07-05,2917000,4.99,9.99,200.2
2018-09-11,2949000,9.99,4.99,49.95
2018-09-18,2961000,4.99,9.99,200.2
2018-12-20,3068000,9.99,3.99,39.94
2019-01-03,3097000,3.99,9.99,250.38
2019-02-04,3116000,9.99,3.99,39.94
2019-02-11,3124000,3.99,9.99,250.38
2019-06-25,3230000,9.99,3.99,39.94
2019-07-09,3270000,3.99,9.99,250.38
2019-11-26,3352000,9.99,3.99,39.94
2019-12-03,3372000,3.99,9.99,250.38
2019-12-19,3390000,9.99,3.99,39.94
2020-01-02,3426000,3.99,9.99,250.38
2020-06-25,3246000,9.99,3.39,33.93
2020-07-09,3290000,3.39,9.99,294.69
2020-12-22,3503000,9.99,3.99,39.94
2021-01-05,3553000,3.99,9.99,250.38
2021-01-15,3577000,9.99,4.0,40.04
2021-01-17,3594000,4.0,9.99,249.75
2021-06-24,3694000,9.99,2.99,29.93
2021-07-08,3737000,2.99,9.99,334.11
2021-12-22,3947000,9.99,2.99,29.93
2022-01-05,3984000,2.99,9.99,334.11
2022-01-27,4007000,9.99,2.99,29.93
2022-02-03,4025000,2.99,9.99,334.11
