date,Owners,Price,PriceChangeTo,discount
2015-04-02,143000,0.0,9.99,
2015-06-11,146000,9.99,4.99,49.95
2015-06-22,146000,4.99,9.99,200.2
2016-03-04,262000,9.99,4.99,49.95
2016-03-07,264000,4.99,9.99,200.2
2016-06-23,269000,9.99,4.99,49.95
2016-07-05,271000,4.99,9.99,200.2
2016-12-22,279000,9.99,4.99,49.95
2017-01-04,278000,4.99,9.99,200.2
2017-06-22,283000,9.99,4.99,49.95
2017-07-05,288000,4.99,9.99,200.2
2017-12-22,290000,9.99,4.99,49.95
2018-01-05,292000,4.99,9.99,200.2
2018-03-02,267000,9.99,4.99,49.95
2018-03-06,269000,4.99,9.99,200.2
2018-06-20,234000,9.99,4.99,49.95
2018-07-05,234000,4.99,9.99,200.2
2018-11-21,233000,9.99,4.99,49.95
2018-11-27,235000,4.99,9.99,200.2
2018-12-20,235000,9.99,4.99,49.95
2019-01-03,235000,4.99,9.99,200.2
2019-06-25,234000,9.99,4.99,49.95
2019-07-08,231000,4.99,9.99,200.2
2019-09-11,240000,9.99,4.99,49.95
2019-09-15,239000,4.99,9.99,200.2
2019-11-21,239000,9.99,4.99,49.95
2019-12-03,237000,4.99,9.99,200.2
2019-12-19,237000,9.99,4.99,49.95
2020-01-02,237000,4.99,9.99,200.2
2020-02-26,210000,9.99,4.99,49.95
2020-03-02,201000,4.99,9.99,200.2
2020-04-30,206000,9.99,4.99,49.95
2020-05-06,206000,4.99,9.99,200.2
2020-06-25,213000,9.99,4.99,49.95
2020-07-09,211000,4.99,9.99,200.2
2020-09-23,216000,9.99,4.99,49.95
2020-10-07,215000,4.99,9.99,200.2
2020-12-22,218000,9.99,4.99,49.95
2021-01-05,217000,4.99,9.99,200.2
2021-03-18,218000,9.99,4.99,49.95
2021-03-29,217000,4.99,9.99,200.2
2021-04-29,217000,9.99,4.99,49.95
2021-05-06,216000,4.99,9.99,200.2
2021-06-24,219000,9.99,4.99,49.95
2021-07-08,218000,4.99,9.99,200.2
2021-09-29,223000,9.99,4.99,49.95
2021-10-13,224000,4.99,9.99,200.2
2021-12-16,228000,9.99,4.99,49.95
2022-01-05,227000,4.99,9.99,200.2
2022-03-16,231000,9.99,4.99,49.95
2022-03-28,230000,4.99,9.99,200.2
2022-04-27,231000,9.99,4.99,49.95
2022-05-11,236000,4.99,9.99,200.2
2022-06-23,239000,9.99,4.99,49.95
2022-07-07,238000,4.99,9.99,200.2
2022-09-14,245000,9.99,4.99,49.95
2022-09-28,245000,4.99,9.99,200.2
