date,Owners,Price,PriceChangeTo,discount
2017-04-21,,0.0,11.99,
2017-04-28,25000,11.99,14.99,125.02
2017-06-22,36000,14.99,9.89,65.98
2017-07-05,43000,9.89,14.99,151.57
2017-07-22,46000,14.99,8.99,59.97
2017-07-24,47000,8.99,14.99,166.74
2017-09-07,56000,14.99,8.99,59.97
2017-09-14,57000,8.99,14.99,166.74
2017-10-26,76000,14.99,8.99,59.97
2017-11-01,81000,8.99,14.99,166.74
2017-11-22,93000,14.99,8.24,54.97
2017-11-28,94000,8.24,14.99,181.92
2017-12-21,98000,14.99,7.49,49.97
2018-01-04,109000,7.49,14.99,200.13
2018-01-15,100000,14.99,9.89,65.98
2018-01-22,101000,9.89,14.99,151.57
2018-02-15,108000,14.99,7.49,49.97
2018-02-19,111000,7.49,14.99,200.13
2018-03-20,106000,14.99,5.09,33.96
2018-03-22,109000,5.09,14.99,294.5
2018-04-09,112000,14.99,5.09,33.96
2018-04-16,115000,5.09,14.99,294.5
2018-06-11,101000,14.99,5.09,33.96
2018-06-18,111000,5.09,14.99,294.5
2018-06-21,100000,14.99,4.49,29.95
2018-07-05,115000,4.49,14.99,333.85
2018-07-19,122000,14.99,5.09,33.96
2018-07-23,131000,5.09,14.99,294.5
2018-10-29,104000,14.99,4.49,29.95
2018-11-01,107000,4.49,14.99,333.85
2018-11-12,123000,14.99,3.74,24.95
2018-11-19,124000,3.74,14.99,400.8
2018-11-21,112000,14.99,3.74,24.95
2018-11-27,120000,3.74,14.99,400.8
2018-12-20,119000,14.99,3.74,24.95
2019-01-03,123000,3.74,14.99,400.8
2019-02-04,127000,14.99,3.74,24.95
2019-02-11,132000,3.74,14.99,400.8
2019-04-11,128000,14.99,2.99,19.95
2019-04-15,142000,2.99,14.99,501.34
2019-06-03,128000,14.99,3.74,24.95
2019-06-07,136000,3.74,14.99,400.8
2019-06-25,128000,14.99,2.99,19.95
2019-07-09,140000,2.99,14.99,501.34
2019-09-16,195000,14.99,2.99,19.95
2019-09-23,158000,2.99,14.99,501.34
2019-10-28,150000,14.99,2.99,19.95
2019-11-01,156000,2.99,14.99,501.34
2019-11-10,182000,14.99,2.99,19.95
2019-11-12,184000,2.99,14.99,501.34
2019-11-26,177000,14.99,2.99,19.95
2019-12-03,180000,2.99,14.99,501.34
2019-12-19,150000,14.99,2.99,19.95
2020-01-02,105000,2.99,14.99,501.34
2020-04-13,116000,14.99,2.99,19.95
2020-04-20,117000,2.99,14.99,501.34
2020-06-25,117000,14.99,2.99,19.95
2020-07-09,122000,2.99,14.99,501.34
2020-08-31,132000,14.99,2.99,19.95
2020-09-07,130000,2.99,14.99,501.34
2020-11-25,128000,14.99,3.74,24.95
2020-12-01,129000,3.74,14.99,400.8
2020-12-13,129000,14.99,2.99,19.95
2020-12-21,133000,2.99,14.99,501.34
2020-12-22,132000,14.99,3.74,24.95
2021-01-05,115000,3.74,14.99,400.8
2021-05-17,134000,14.99,7.49,49.97
2021-05-18,135000,7.49,2.99,39.92
2021-05-22,120000,2.99,7.49,250.5
2021-05-24,135000,7.49,14.99,200.13
2021-05-27,134000,14.99,2.99,19.95
2021-05-31,138000,2.99,14.99,501.34
2021-06-24,135000,14.99,2.99,19.95
2021-07-08,137000,2.99,14.99,501.34
2021-07-28,139000,14.99,3.74,24.95
2021-08-02,141000,3.74,14.99,400.8
2021-08-09,139000,14.99,3.74,24.95
2021-08-16,140000,3.74,14.99,400.8
2022-01-27,142000,14.99,2.99,19.95
2022-02-03,143000,2.99,14.99,501.34
2022-02-07,143000,14.99,2.99,19.95
2022-02-14,143000,2.99,14.99,501.34
2022-04-20,144000,14.99,2.99,19.95
2022-04-26,146000,2.99,14.99,501.34
2022-07-11,147000,14.99,2.99,19.95
2022-07-18,147000,2.99,14.99,501.34
2022-10-03,151000,14.99,3.74,24.95
2022-10-10,152000,3.74,14.99,400.8
