date,Owners,Price,PriceChangeTo,discount
2015-09-10,1018000,39.99,19.99,49.99
2015-09-14,1020000,19.99,39.99,200.05
2015-11-25,1033000,39.99,19.99,49.99
2015-12-01,1028000,19.99,39.99,200.05
2015-12-22,1030000,39.99,15.19,37.98
2016-01-04,1043000,15.19,39.99,263.27
2016-02-05,1073000,39.99,18.79,46.99
2016-02-12,1042000,18.79,39.99,212.83
2016-11-23,1083000,39.99,9.99,24.98
2016-11-29,1083000,9.99,39.99,400.3
2016-12-22,1092000,39.99,11.99,29.98
2017-01-02,1103000,11.99,39.99,333.53
2017-06-22,1088000,39.99,11.99,29.98
2017-07-05,1100000,11.99,39.99,333.53
2017-09-14,1155000,39.99,9.99,24.98
2017-09-18,1148000,9.99,39.99,400.3
2017-11-22,1136000,39.99,9.99,24.98
2017-11-28,1122000,9.99,39.99,400.3
2017-12-21,1133000,39.99,9.99,24.98
2018-01-04,1151000,9.99,39.99,400.3
2018-06-20,1083000,39.99,9.99,24.98
2018-07-05,1095000,9.99,39.99,400.3
2018-10-29,1088000,39.99,9.99,24.98
2018-11-05,1099000,9.99,39.99,400.3
2018-11-21,1095000,39.99,9.99,24.98
2018-11-27,1103000,9.99,39.99,400.3
2018-12-20,1101000,39.99,9.99,24.98
2019-01-03,1111000,9.99,39.99,400.3
2019-02-04,1105000,39.99,9.99,24.98
2019-02-11,1110000,9.99,39.99,400.3
2019-06-13,1112000,39.99,9.99,24.98
2019-06-17,1123000,9.99,39.99,400.3
2019-06-25,1118000,39.99,9.99,24.98
2019-07-09,1135000,9.99,39.99,400.3
2019-09-05,1124000,39.99,9.99,24.98
2019-09-09,1131000,9.99,39.99,400.3
2019-10-27,1131000,39.99,9.99,24.98
2019-11-01,1133000,9.99,39.99,400.3
2019-11-26,1133000,39.99,9.99,24.98
2019-12-03,1143000,9.99,39.99,400.3
2019-12-19,1143000,39.99,9.99,24.98
2020-01-02,1137000,9.99,39.99,400.3
2020-01-23,1038000,39.99,9.99,24.98
2020-01-27,1022000,9.99,39.99,400.3
2020-04-16,1016000,39.99,9.99,24.98
2020-04-20,1027000,9.99,39.99,400.3
2020-11-25,1039000,39.99,9.99,24.98
2020-12-01,1050000,9.99,39.99,400.3
2020-12-22,1043000,39.99,9.99,24.98
2021-01-05,1050000,9.99,39.99,400.3
2021-01-21,1046000,39.99,24.99,62.49
2021-01-25,1047000,24.99,39.99,160.02
2021-01-26,1047000,39.99,24.99,62.49
2021-02-04,1045000,24.99,39.99,160.02
2021-02-07,1048000,39.99,24.99,62.49
2021-02-08,1046000,24.99,39.99,160.02
2021-02-09,1046000,39.99,24.99,62.49
2021-02-10,1045000,24.99,39.99,160.02
2021-02-12,1045000,39.99,9.99,24.98
2021-02-15,1045000,9.99,24.99,250.15
2021-02-18,1049000,24.99,39.99,160.02
2021-02-21,1048000,39.99,24.99,62.49
2021-02-22,1048000,24.99,39.99,160.02
2021-02-24,1046000,39.99,24.99,62.49
2021-02-27,1048000,24.99,39.99,160.02
2021-03-02,1047000,39.99,24.99,62.49
2021-03-03,1046000,24.99,39.99,160.02
2021-03-04,1047000,39.99,24.99,62.49
2021-03-06,1048000,24.99,39.99,160.02
2021-03-07,1048000,39.99,24.99,62.49
2021-03-08,1048000,24.99,39.99,160.02
2021-03-12,510000,39.99,24.99,62.49
2021-03-14,509000,24.99,39.99,160.02
2021-03-15,1018000,39.99,24.99,62.49
2021-03-17,1017000,24.99,39.99,160.02
2021-03-19,1018000,39.99,24.99,62.49
2021-03-21,1020000,24.99,39.99,160.02
2021-03-22,1018000,39.99,24.99,62.49
2021-03-25,1017000,24.99,39.99,160.02
2021-03-26,1018000,39.99,24.99,62.49
2021-03-27,1019000,24.99,39.99,160.02
2021-03-28,1019000,39.99,24.99,62.49
2021-03-30,1017000,24.99,39.99,160.02
2021-03-31,1017000,39.99,24.99,62.49
2021-04-01,1017000,24.99,39.99,160.02
2021-04-02,1018000,39.99,24.99,62.49
2021-04-03,1019000,24.99,39.99,160.02
2021-04-04,1018000,39.99,24.99,62.49
2021-04-08,1018000,24.99,12.49,49.98
2021-04-09,1018000,12.49,39.99,320.18
2021-04-12,1018000,39.99,24.99,62.49
2021-04-13,1017000,24.99,39.99,160.02
2021-04-15,1017000,39.99,24.99,62.49
2021-04-16,1017000,24.99,39.99,160.02
2021-04-19,1017000,39.99,24.99,62.49
2021-04-21,1018000,24.99,39.99,160.02
2021-04-22,1017000,39.99,24.99,62.49
2021-04-26,1017000,24.99,39.99,160.02
2021-04-27,511000,39.99,24.99,62.49
2021-04-29,1017000,24.99,39.99,160.02
2021-04-30,1017000,39.99,24.99,62.49
2021-05-01,1018000,24.99,39.99,160.02
2021-05-04,1017000,39.99,24.99,62.49
2021-05-12,1016000,24.99,39.99,160.02
2021-05-13,1017000,39.99,24.99,62.49
2021-05-14,1017000,24.99,39.99,160.02
2021-05-15,511000,39.99,24.99,62.49
2021-05-16,1018000,24.99,39.99,160.02
2021-05-19,1016000,39.99,24.99,62.49
2021-05-21,1017000,24.99,39.99,160.02
2021-05-24,1018000,39.99,24.99,62.49
2021-05-25,1017000,24.99,39.99,160.02
2021-05-26,1017000,39.99,24.99,62.49
2021-05-29,1017000,24.99,39.99,160.02
2021-05-31,1016000,39.99,24.99,62.49
2021-06-01,1016000,24.99,39.99,160.02
2021-06-03,1017000,39.99,24.99,62.49
2021-06-11,1015000,24.99,39.99,160.02
2021-06-12,1016000,39.99,24.99,62.49
2021-06-14,1015000,24.99,39.99,160.02
2021-06-15,1016000,39.99,24.99,62.49
2021-06-16,1015000,24.99,39.99,160.02
2021-06-18,1016000,39.99,9.99,24.98
2021-07-08,1024000,9.99,24.99,250.15
2021-07-11,1026000,24.99,39.99,160.02
2021-07-12,1024000,39.99,24.99,62.49
2021-07-13,1024000,24.99,39.99,160.02
2021-07-14,1024000,39.99,24.99,62.49
2021-07-18,1025000,24.99,39.99,160.02
2021-07-19,1024000,39.99,24.99,62.49
2021-07-20,1023000,24.99,39.99,160.02
2021-07-21,1023000,39.99,24.99,62.49
2021-07-22,1021000,24.99,39.99,160.02
2021-07-23,1022000,39.99,24.99,62.49
2021-07-29,1021000,24.99,39.99,160.02
2021-07-30,1021000,39.99,24.99,62.49
2021-08-01,1024000,24.99,39.99,160.02
2021-08-02,1022000,39.99,24.99,62.49
2021-08-03,1022000,24.99,39.99,160.02
2021-08-07,1022000,39.99,24.99,62.49
2021-08-11,1021000,24.99,39.99,160.02
2021-08-12,1021000,39.99,24.99,62.49
2021-08-14,1021000,24.99,39.99,160.02
2021-08-18,1020000,39.99,24.99,62.49
2021-08-20,1020000,24.99,39.99,160.02
2021-08-22,1022000,39.99,24.99,62.49
2021-08-23,1020000,24.99,39.99,160.02
2021-08-24,1020000,39.99,24.99,62.49
2021-08-25,1019000,24.99,39.99,160.02
2021-08-26,1020000,39.99,24.99,62.49
2021-08-27,1020000,24.99,39.99,160.02
2021-08-28,1021000,39.99,24.99,62.49
2021-08-29,1021000,24.99,39.99,160.02
2021-08-30,1020000,39.99,24.99,62.49
2021-08-31,1019000,24.99,39.99,160.02
2021-09-01,1019000,39.99,24.99,62.49
2021-09-04,1020000,24.99,39.99,160.02
2021-09-07,1019000,39.99,24.99,62.49
2021-09-09,1019000,24.99,39.99,160.02
2021-09-11,1020000,39.99,24.99,62.49
2021-09-14,1018000,24.99,39.99,160.02
2021-09-15,1018000,39.99,24.99,62.49
2021-09-16,1019000,24.99,39.99,160.02
2021-09-20,1019000,39.99,24.99,62.49
2021-09-22,1018000,24.99,39.99,160.02
2021-09-24,1018000,39.99,24.99,62.49
2021-09-25,1019000,24.99,39.99,160.02
2021-09-29,1018000,39.99,24.99,62.49
2021-10-02,1018000,24.99,39.99,160.02
2021-10-04,1018000,39.99,24.99,62.49
2021-10-05,1017000,24.99,39.99,160.02
2021-10-06,1018000,39.99,24.99,62.49
2021-10-11,1018000,24.99,39.99,160.02
2021-10-12,1018000,39.99,24.99,62.49
2021-10-13,1018000,24.99,39.99,160.02
2021-10-14,1018000,39.99,24.99,62.49
2021-10-18,1018000,24.99,39.99,160.02
2021-10-19,1017000,39.99,24.99,62.49
