date,Owners,Price,PriceChangeTo,discount
2015-10-08,3000,0.0,6.99,
2016-12-22,18000,6.99,5.94,84.98
2017-01-02,17000,5.94,6.99,117.68
2017-03-28,50000,6.99,11.99,171.53
2017-06-22,71000,11.99,9.59,79.98
2017-07-05,74000,9.59,11.99,125.03
2017-08-12,86000,11.99,5.99,49.96
2017-08-14,88000,5.99,11.99,200.17
2017-10-26,97000,11.99,2.99,24.94
2017-11-01,99000,2.99,11.99,401.0
2017-11-22,102000,11.99,5.99,49.96
2017-11-28,97000,5.99,11.99,200.17
2017-12-21,101000,11.99,5.99,49.96
2018-01-04,108000,5.99,11.99,200.17
2018-02-14,107000,11.99,5.99,49.96
2018-02-19,104000,5.99,11.99,200.17
2018-04-12,112000,11.99,5.99,49.96
2018-04-16,133000,5.99,11.99,200.17
2018-06-11,207000,11.99,5.99,49.96
2018-06-18,188000,5.99,11.99,200.17
2018-06-21,208000,11.99,5.99,49.96
2018-07-05,210000,5.99,11.99,200.17
2018-09-17,145000,11.99,5.99,49.96
2018-09-24,150000,5.99,11.99,200.17
2018-10-29,159000,11.99,5.99,49.96
2018-11-01,157000,5.99,11.99,200.17
2018-11-21,169000,11.99,5.99,49.96
2018-11-27,166000,5.99,11.99,200.17
2018-12-12,161000,11.99,5.99,49.96
2018-12-19,173000,5.99,11.99,200.17
2018-12-20,176000,11.99,5.99,49.96
2019-01-03,175000,5.99,11.99,200.17
2019-02-04,200000,11.99,5.99,49.96
2019-02-11,202000,5.99,11.99,200.17
2019-12-04,255000,11.99,1.99,16.6
