date,Owners,Price,PriceChangeTo,discount
2015-04-10,92000,26.99,29.99,111.12
2015-06-11,102000,29.99,23.99,79.99
2015-06-17,105000,23.99,17.99,74.99
2015-06-18,106000,17.99,23.99,133.35
2015-06-22,107000,23.99,29.99,125.01
2015-10-29,119000,29.99,19.49,64.99
2015-11-02,117000,19.49,29.99,153.87
2015-11-25,124000,29.99,17.99,59.99
2015-12-01,127000,17.99,29.99,166.7
2015-12-11,125000,29.99,20.09,66.99
2015-12-16,125000,20.09,29.99,149.28
2015-12-22,126000,29.99,17.99,59.99
2016-01-04,132000,17.99,29.99,166.7
2016-02-05,140000,29.99,17.99,59.99
2016-02-12,132000,17.99,29.99,166.7
2016-05-27,137000,29.99,20.99,69.99
2016-06-01,143000,20.99,29.99,142.88
2016-06-23,155000,29.99,12.89,42.98
2016-07-04,156000,12.89,29.99,232.66
2016-10-28,175000,29.99,14.99,49.98
2016-11-01,168000,14.99,29.99,200.07
2016-11-23,176000,29.99,11.99,39.98
2016-11-29,175000,11.99,29.99,250.13
2016-12-13,197000,29.99,7.49,24.97
2016-12-15,200000,7.49,29.99,400.4
2016-12-22,197000,29.99,11.99,39.98
2017-01-02,200000,11.99,29.99,250.13
2017-04-03,217000,29.99,7.49,24.97
2017-04-05,218000,7.49,29.99,400.4
2017-06-22,216000,29.99,10.49,34.98
2017-07-05,227000,10.49,29.99,285.89
2017-08-04,300000,29.99,10.49,34.98
2017-08-14,341000,10.49,29.99,285.89
2017-10-04,392000,29.99,8.99,29.98
2017-10-18,410000,8.99,29.99,333.59
2017-10-26,422000,29.99,8.99,29.98
2017-11-01,410000,8.99,29.99,333.59
2017-11-23,404000,29.99,8.99,29.98
2017-11-28,406000,8.99,29.99,333.59
2017-12-21,419000,29.99,8.99,29.98
2018-01-04,429000,8.99,29.99,333.59
2018-02-15,416000,29.99,8.99,29.98
2018-02-19,421000,8.99,29.99,333.59
2018-04-20,460000,29.99,7.49,24.97
2018-04-22,501000,7.49,29.99,400.4
2018-06-21,410000,29.99,7.49,24.97
2018-07-05,442000,7.49,29.99,400.4
2018-10-29,456000,29.99,6.0,20.01
2018-10-31,468000,6.0,7.49,124.83
2018-11-01,468000,7.49,29.99,400.4
2018-11-21,430000,29.99,7.49,24.97
2018-11-27,468000,7.49,29.99,400.4
2018-12-20,466000,29.99,7.49,24.97
2019-01-03,507000,7.49,29.99,400.4
2019-02-04,482000,29.99,7.49,24.97
2019-02-11,493000,7.49,29.99,400.4
2019-06-25,524000,29.99,7.49,24.97
2019-07-09,554000,7.49,29.99,400.4
2019-10-27,550000,29.99,7.49,24.97
2019-11-01,567000,7.49,29.99,400.4
2019-11-09,567000,29.99,7.49,24.97
2019-11-12,567000,7.49,29.99,400.4
2019-11-26,558000,29.99,7.49,24.97
2019-12-03,561000,7.49,29.99,400.4
2019-12-19,560000,29.99,7.49,24.97
2020-01-02,582000,7.49,29.99,400.4
2020-01-23,526000,29.99,7.49,24.97
2020-01-27,520000,7.49,29.99,400.4
2020-04-02,541000,29.99,4.49,14.97
2020-04-09,591000,4.49,29.99,667.93
2020-06-25,412000,29.99,7.49,24.97
2020-07-09,419000,7.49,29.99,400.4
2020-10-29,437000,29.99,5.99,19.97
2020-11-02,446000,5.99,29.99,500.67
2020-11-25,449000,29.99,2.99,9.97
2020-12-01,457000,2.99,29.99,1003.01
2020-12-22,456000,29.99,5.99,19.97
2021-01-05,464000,5.99,29.99,500.67
2021-02-11,466000,29.99,5.99,19.97
2021-02-15,466000,5.99,29.99,500.67
2021-04-19,473000,29.99,5.99,19.97
2021-04-26,480000,5.99,29.99,500.67
2021-06-24,478000,29.99,5.99,19.97
2021-07-08,483000,5.99,29.99,500.67
2021-09-21,491000,29.99,5.99,19.97
2021-10-01,498000,5.99,29.99,500.67
2021-10-28,495000,29.99,5.99,19.97
2021-11-01,500000,5.99,29.99,500.67
2021-11-24,499000,29.99,5.99,19.97
2021-11-30,504000,5.99,29.99,500.67
2021-12-22,504000,29.99,5.99,19.97
2022-01-05,509000,5.99,29.99,500.67
2022-01-26,508000,29.99,5.99,19.97
2022-02-03,513000,5.99,29.99,500.67
2022-04-12,528000,29.99,4.49,14.97
2022-04-26,544000,4.49,29.99,667.93
2022-06-23,533000,29.99,5.99,19.97
2022-07-07,537000,5.99,29.99,500.67
