date,Owners,Price,PriceChangeTo,discount
2017-09-28,2000,0.0,17.99,
2017-10-05,2000,17.99,19.99,111.12
2017-11-22,4000,19.99,12.99,64.98
2017-11-28,5000,12.99,19.99,153.89
2017-12-04,7000,19.99,12.99,64.98
2017-12-11,7000,12.99,19.99,153.89
2017-12-21,8000,19.99,12.99,64.98
2018-01-04,10000,12.99,19.99,153.89
2018-02-15,11000,19.99,11.99,59.98
2018-02-19,10000,11.99,19.99,166.72
2018-04-30,11000,19.99,11.99,59.98
2018-05-07,11000,11.99,19.99,166.72
2018-06-21,12000,19.99,11.99,59.98
2018-07-05,12000,11.99,19.99,166.72
2018-07-23,12000,19.99,11.99,59.98
2018-07-30,13000,11.99,19.99,166.72
2018-09-28,13000,19.99,11.99,59.98
2018-10-05,14000,11.99,19.99,166.72
2018-10-29,14000,19.99,9.99,49.97
2018-11-01,15000,9.99,19.99,200.1
2018-11-21,15000,19.99,9.99,49.97
2018-11-27,16000,9.99,19.99,200.1
2018-12-03,16000,19.99,9.99,49.97
2018-12-10,16000,9.99,19.99,200.1
2018-12-20,16000,19.99,9.99,49.97
2019-01-03,16000,9.99,19.99,200.1
2019-02-04,16000,19.99,9.99,49.97
2019-02-18,16000,9.99,19.99,200.1
2019-04-15,18000,19.99,9.99,49.97
2019-04-22,19000,9.99,19.99,200.1
2019-06-25,20000,19.99,9.99,49.97
2019-07-09,20000,9.99,19.99,200.1
2019-07-15,20000,19.99,9.99,49.97
2019-07-21,20000,9.99,19.99,200.1
2019-09-09,7000,19.99,9.99,49.97
2019-09-16,21000,9.99,19.99,200.1
2019-10-28,21000,19.99,9.99,49.97
2019-11-01,21000,9.99,19.99,200.1
2019-11-11,21000,19.99,9.99,49.97
2019-11-18,22000,9.99,19.99,200.1
2019-11-26,23000,19.99,9.99,49.97
2019-12-03,23000,9.99,19.99,200.1
2019-12-19,23000,19.99,9.99,49.97
2020-01-03,24000,9.99,19.99,200.1
2020-01-12,24000,19.99,9.99,49.97
2020-01-20,24000,9.99,19.99,200.1
2020-01-23,23000,19.99,9.99,49.97
2020-01-27,22000,9.99,19.99,200.1
2020-03-02,23000,19.99,9.99,49.97
2020-03-09,23000,9.99,19.99,200.1
2020-04-20,26000,19.99,7.99,39.97
2020-04-28,28000,7.99,19.99,250.19
2020-06-08,29000,19.99,7.99,39.97
2020-06-14,13000,7.99,19.99,250.19
2020-06-25,37000,19.99,7.99,39.97
2020-07-09,38000,7.99,19.99,250.19
2020-07-27,39000,19.99,7.99,39.97
2020-08-03,39000,7.99,19.99,250.19
2020-09-15,40000,19.99,7.99,39.97
2020-09-25,41000,7.99,19.99,250.19
2020-10-29,10000,19.99,7.99,39.97
2020-11-02,42000,7.99,19.99,250.19
2020-11-09,43000,19.99,7.99,39.97
2020-11-16,43000,7.99,19.99,250.19
2020-11-25,43000,19.99,7.99,39.97
2020-12-01,43000,7.99,19.99,250.19
2020-12-22,44000,19.99,7.99,39.97
2021-01-05,44000,7.99,19.99,250.19
2021-01-11,44000,19.99,7.99,39.97
2021-01-18,45000,7.99,19.99,250.19
2021-02-11,45000,19.99,7.99,39.97
2021-02-14,45000,7.99,19.99,250.19
2021-03-01,45000,19.99,7.99,39.97
2021-03-08,45000,7.99,19.99,250.19
2021-04-19,46000,19.99,7.99,39.97
2021-04-26,46000,7.99,19.99,250.19
2021-06-07,47000,19.99,7.99,39.97
2021-06-14,47000,7.99,19.99,250.19
2021-06-24,48000,19.99,7.99,39.97
2021-07-08,48000,7.99,19.99,250.19
2021-07-26,49000,19.99,7.99,39.97
2021-08-02,49000,7.99,19.99,250.19
2021-09-13,50000,19.99,6.79,33.97
2021-09-20,50000,6.79,19.99,294.4
2021-10-28,51000,19.99,6.79,33.97
2021-11-01,51000,6.79,19.99,294.4
2021-11-08,52000,19.99,4.99,24.96
2021-11-22,53000,4.99,19.99,400.6
2021-11-24,53000,19.99,4.99,24.96
2021-12-01,54000,4.99,19.99,400.6
2021-12-21,55000,19.99,4.99,24.96
2022-01-05,55000,4.99,19.99,400.6
2022-01-10,55000,19.99,4.99,24.96
2022-01-17,56000,4.99,19.99,400.6
2022-01-27,56000,19.99,4.99,24.96
2022-02-03,56000,4.99,19.99,400.6
2022-02-28,57000,19.99,4.99,24.96
2022-03-07,58000,4.99,19.99,400.6
2022-04-04,59000,19.99,4.99,24.96
2022-04-11,59000,4.99,19.99,400.6
2022-05-09,60000,19.99,4.99,24.96
2022-05-16,11000,4.99,19.99,400.6
2022-06-13,11000,19.99,4.99,24.96
2022-06-20,62000,4.99,19.99,400.6
2022-06-23,62000,19.99,4.99,24.96
2022-07-06,62000,4.99,19.99,400.6
2022-07-18,63000,19.99,4.99,24.96
2022-07-25,63000,4.99,19.99,400.6
2022-08-22,64000,19.99,4.99,24.96
2022-08-29,65000,4.99,19.99,400.6
2022-09-26,66000,19.99,4.99,24.96
2022-10-03,11000,4.99,19.99,400.6
