date,Owners,Price,PriceChangeTo,discount
2015-05-06,8000,19.99,17.99,89.99
2015-05-14,10000,17.99,19.99,111.12
2015-06-11,11000,19.99,16.99,84.99
2015-06-22,10000,16.99,19.99,117.66
2015-07-13,11000,19.99,9.99,49.97
2015-07-20,13000,9.99,19.99,200.1
2015-10-05,16000,19.99,9.99,49.97
2015-10-12,17000,9.99,19.99,200.1
2015-10-29,17000,19.99,9.99,49.97
2015-11-02,17000,9.99,19.99,200.1
2015-11-25,19000,19.99,9.99,49.97
2015-12-01,17000,9.99,19.99,200.1
2015-12-22,19000,19.99,9.99,49.97
2016-01-04,19000,9.99,19.99,200.1
2016-01-28,20000,19.99,9.99,49.97
2016-01-29,20000,9.99,19.99,200.1
2016-02-05,22000,19.99,9.99,49.97
2016-02-11,22000,9.99,19.99,200.1
2016-03-27,23000,19.99,9.99,49.97
2016-04-04,23000,9.99,19.99,200.1
2016-06-23,27000,19.99,4.99,24.96
2016-07-04,32000,4.99,19.99,400.6
2016-08-01,37000,19.99,4.99,24.96
2016-08-08,40000,4.99,19.99,400.6
2016-10-03,44000,19.99,4.99,24.96
2016-10-10,46000,4.99,19.99,400.6
2016-10-28,48000,19.99,4.99,24.96
2016-11-01,49000,4.99,19.99,400.6
2016-11-23,51000,19.99,7.99,39.97
2016-11-29,48000,7.99,19.99,250.19
2016-12-05,51000,19.99,9.99,49.97
2016-12-11,51000,9.99,19.99,200.1
2016-12-22,53000,19.99,4.99,24.96
2017-01-02,52000,4.99,19.99,400.6
2017-02-06,55000,19.99,4.99,24.96
2017-02-13,57000,4.99,19.99,400.6
2017-03-30,58000,19.99,3.99,19.96
2017-04-03,60000,3.99,19.99,501.0
2017-04-10,60000,19.99,4.99,24.96
2017-04-17,63000,4.99,19.99,400.6
2017-06-12,62000,19.99,9.99,49.97
2017-06-19,62000,9.99,19.99,200.1
2017-06-22,62000,19.99,4.99,24.96
2017-07-05,68000,4.99,19.99,400.6
2017-08-14,70000,19.99,4.99,24.96
2017-08-21,71000,4.99,19.99,400.6
2017-08-30,77000,19.99,9.99,49.97
2017-09-04,75000,9.99,19.99,200.1
