date,Owners,Price,PriceChangeTo,discount
2015-06-09,203000,9.99,2.49,24.92
2015-06-12,206000,2.49,5.99,240.56
2015-06-22,204000,5.99,9.99,166.78
2015-07-22,203000,9.99,99.99,1000.9
2015-07-28,200000,99.99,9.99,9.99
2015-08-19,225000,9.99,99.99,1000.9
2015-08-20,229000,99.99,2.99,2.99
2015-08-22,231000,2.99,9.99,334.11
2015-09-22,244000,9.99,2.49,24.92
2015-09-25,244000,2.49,9.99,401.2
2015-11-25,242000,9.99,4.99,49.95
2015-12-01,244000,4.99,9.99,200.2
2015-12-22,247000,9.99,4.99,49.95
2016-01-04,247000,4.99,9.99,200.2
2016-02-05,258000,9.99,4.99,49.95
2016-02-12,249000,4.99,9.99,200.2
2016-03-24,249000,9.99,4.99,49.95
2016-03-28,248000,4.99,9.99,200.2
2016-06-23,249000,9.99,4.99,49.95
2016-07-04,254000,4.99,9.99,200.2
2016-08-02,257000,9.99,2.49,24.92
2016-08-05,254000,2.49,9.99,401.2
2016-11-23,268000,9.99,4.99,49.95
2016-11-29,263000,4.99,9.99,200.2
2016-12-22,271000,9.99,4.99,49.95
2017-01-02,263000,4.99,9.99,200.2
2017-03-23,272000,9.99,3.39,33.93
2017-03-27,272000,3.39,9.99,294.69
2017-06-22,267000,9.99,3.39,33.93
2017-07-05,274000,3.39,9.99,294.69
2017-11-22,282000,9.99,3.39,33.93
2017-11-28,278000,3.39,9.99,294.69
2017-12-22,291000,9.99,3.39,33.93
2018-01-05,277000,3.39,9.99,294.69
2018-02-12,277000,9.99,3.39,33.93
2018-02-20,264000,3.39,9.99,294.69
2018-03-21,281000,9.99,3.99,39.94
2018-03-26,272000,3.99,9.99,250.38
2018-06-20,261000,9.99,2.49,24.92
2018-07-05,266000,2.49,9.99,401.2
2018-11-21,280000,9.99,2.49,24.92
2018-11-27,282000,2.49,9.99,401.2
2018-12-20,288000,9.99,2.49,24.92
2019-01-03,291000,2.49,9.99,401.2
2019-02-04,297000,9.99,2.49,24.92
2019-02-11,297000,2.49,9.99,401.2
2019-06-25,277000,9.99,2.49,24.92
2019-07-09,282000,2.49,9.99,401.2
2019-08-05,284000,9.99,2.49,24.92
2019-08-12,285000,2.49,9.99,401.2
2019-09-30,287000,9.99,2.49,24.92
2019-10-07,287000,2.49,9.99,401.2
2019-11-26,291000,9.99,2.49,24.92
2019-12-03,291000,2.49,9.99,401.2
2019-12-18,292000,9.99,2.49,24.92
2020-01-02,293000,2.49,9.99,401.2
2020-01-05,77000,9.99,2.49,24.92
2020-01-13,20000,2.49,9.99,401.2
2020-01-23,270000,9.99,2.49,24.92
2020-01-27,265000,2.49,9.99,401.2
2020-02-27,263000,9.99,2.49,24.92
2020-03-02,263000,2.49,9.99,401.2
2020-03-15,75000,9.99,2.49,24.92
2020-03-26,266000,2.49,9.99,401.2
2020-05-04,269000,9.99,2.49,24.92
2020-05-11,267000,2.49,9.99,401.2
2020-06-25,270000,9.99,2.49,24.92
2020-07-09,268000,2.49,9.99,401.2
2020-08-24,266000,9.99,2.49,24.92
2020-08-31,265000,2.49,9.99,401.2
2020-11-25,264000,9.99,2.49,24.92
2020-12-01,264000,2.49,9.99,401.2
2020-12-22,264000,9.99,2.49,24.92
2021-01-05,261000,2.49,9.99,401.2
2021-02-12,262000,9.99,2.49,24.92
2021-02-15,262000,2.49,9.99,401.2
2021-03-16,102000,9.99,2.49,24.92
2021-03-29,252000,2.49,9.99,401.2
2021-06-24,343000,9.99,2.49,24.92
2021-07-08,92000,2.49,9.99,401.2
2021-09-16,357000,9.99,2.49,24.92
2021-09-19,363000,2.49,9.99,401.2
2021-11-08,364000,9.99,2.49,24.92
2021-11-14,367000,2.49,9.99,401.2
2021-11-24,366000,9.99,2.49,24.92
2021-11-30,368000,2.49,9.99,401.2
2021-12-22,368000,9.99,2.49,24.92
2022-01-05,374000,2.49,9.99,401.2
2022-01-26,376000,9.99,2.49,24.92
2022-02-03,379000,2.49,9.99,401.2
2022-03-07,379000,9.99,2.49,24.92
2022-03-21,385000,2.49,9.99,401.2
2022-05-19,392000,9.99,2.49,24.92
2022-05-23,158000,2.49,9.99,401.2
2022-06-23,378000,9.99,2.49,24.92
2022-07-07,382000,2.49,9.99,401.2
2022-07-14,382000,9.99,2.49,24.92
2022-07-18,384000,2.49,9.99,401.2
2022-08-18,386000,9.99,2.49,24.92
2022-08-22,387000,2.49,9.99,401.2
2022-10-27,394000,9.99,2.49,24.92
2022-10-31,395000,2.49,9.99,401.2
