date,Owners,Price,PriceChangeTo,discount
2015-04-01,399000,0.0,9.99,
2015-06-11,463000,9.99,2.49,24.92
2015-06-22,469000,2.49,9.99,401.2
2015-12-22,489000,9.99,2.49,24.92
2016-01-04,493000,2.49,9.99,401.2
2016-02-05,501000,9.99,2.49,24.92
2016-02-13,501000,2.49,9.99,401.2
2016-02-21,507000,9.99,2.49,24.92
2016-02-23,504000,2.49,9.99,401.2
2016-06-23,504000,9.99,2.49,24.92
2016-07-04,506000,2.49,9.99,401.2
2016-11-23,536000,9.99,6.69,66.97
2016-11-29,532000,6.69,9.99,149.33
2016-12-22,544000,9.99,4.99,49.95
2017-01-02,540000,4.99,9.99,200.2
2017-06-22,537000,9.99,4.99,49.95
2017-07-05,548000,4.99,9.99,200.2
2018-06-20,220000,9.99,4.99,49.95
2018-07-05,481000,4.99,9.99,200.2
2018-10-29,474000,9.99,4.99,49.95
2018-11-01,474000,4.99,9.99,200.2
2018-11-21,475000,9.99,4.99,49.95
2018-11-27,475000,4.99,9.99,200.2
2018-12-20,473000,9.99,4.99,49.95
2019-01-03,473000,4.99,9.99,200.2
2019-02-04,474000,9.99,4.99,49.95
2019-02-11,473000,4.99,9.99,200.2
2019-06-25,492000,9.99,2.49,24.92
2019-07-08,498000,2.49,9.99,401.2
2019-10-27,497000,9.99,2.49,24.92
2019-11-01,497000,2.49,9.99,401.2
2020-01-23,421000,9.99,4.99,49.95
2020-01-27,413000,4.99,9.99,200.2
2020-02-13,406000,9.99,6.49,64.96
2020-02-14,406000,6.49,9.99,153.93
2020-06-25,414000,9.99,4.99,49.95
2020-07-09,416000,4.99,9.99,200.2
2020-10-29,426000,9.99,4.99,49.95
2020-11-02,426000,4.99,9.99,200.2
2020-11-25,426000,9.99,4.99,49.95
2020-12-01,426000,4.99,9.99,200.2
2020-12-22,426000,9.99,4.99,49.95
2021-01-05,428000,4.99,9.99,200.2
2021-02-12,419000,9.99,4.99,49.95
2021-02-15,419000,4.99,9.99,200.2
2021-10-28,401000,9.99,4.99,49.95
2021-11-01,398000,4.99,9.99,200.2
2021-11-24,397000,9.99,4.99,49.95
2021-11-30,395000,4.99,9.99,200.2
2021-12-22,395000,9.99,4.99,49.95
2022-01-05,393000,4.99,9.99,200.2
2022-01-26,394000,9.99,4.99,49.95
2022-02-03,394000,4.99,9.99,200.2
2022-06-23,388000,9.99,2.49,24.92
2022-07-07,387000,2.49,9.99,401.2
