date,Owners,Price,PriceChangeTo,discount
2015-06-11,58000,19.99,9.99,49.97
2015-06-22,57000,9.99,19.99,200.1
2015-11-25,60000,19.99,4.99,24.96
2015-12-01,63000,4.99,19.99,400.6
2015-12-22,64000,19.99,4.99,24.96
2016-01-04,67000,4.99,19.99,400.6
2016-02-05,70000,19.99,6.79,33.97
2016-02-12,67000,6.79,19.99,294.4
2016-02-18,65000,19.99,14.99,74.99
2016-06-23,70000,14.99,5.09,33.96
2016-07-04,68000,5.09,14.99,294.5
2016-10-28,75000,14.99,5.99,39.96
2016-11-01,74000,5.99,14.99,250.25
2016-11-23,76000,14.99,5.09,33.96
2016-11-29,74000,5.09,14.99,294.5
2016-12-22,76000,14.99,5.09,33.96
2017-01-02,84000,5.09,14.99,294.5
2017-03-20,79000,14.99,11.99,79.99
2017-06-22,76000,11.99,4.79,39.95
2017-07-05,75000,4.79,11.99,250.31
2017-10-26,84000,11.99,3.59,29.94
2017-11-02,85000,3.59,11.99,333.98
2017-11-22,82000,11.99,3.59,29.94
2017-11-28,82000,3.59,11.99,333.98
2017-12-22,85000,11.99,3.59,29.94
2018-01-05,88000,3.59,11.99,333.98
2018-06-20,75000,11.99,2.99,24.94
2018-07-05,75000,2.99,11.99,401.0
2018-10-31,76000,11.99,3.59,29.94
2018-11-01,77000,3.59,11.99,333.98
2018-11-21,77000,11.99,3.59,29.94
2018-11-27,77000,3.59,11.99,333.98
2018-12-20,76000,11.99,3.59,29.94
2019-01-03,76000,3.59,11.99,333.98
2019-02-04,76000,11.99,2.39,19.93
2019-02-11,78000,2.39,11.99,501.67
2019-06-25,78000,11.99,2.39,19.93
2019-07-09,80000,2.39,11.99,501.67
2020-06-25,83000,11.99,2.39,19.93
2020-07-09,86000,2.39,11.99,501.67
2020-10-29,89000,11.99,2.39,19.93
2020-11-02,90000,2.39,11.99,501.67
2020-11-25,91000,11.99,2.39,19.93
2020-12-01,92000,2.39,11.99,501.67
2020-12-22,93000,11.99,2.39,19.93
2021-01-05,66000,2.39,11.99,501.67
2021-05-27,100000,11.99,2.39,19.93
2021-05-31,101000,2.39,11.99,501.67
2021-06-24,102000,11.99,2.39,19.93
2021-07-08,104000,2.39,11.99,501.67
2021-10-28,109000,11.99,2.39,19.93
2021-11-01,110000,2.39,11.99,501.67
2021-11-24,112000,11.99,2.39,19.93
2021-12-01,114000,2.39,11.99,501.67
2021-12-22,102000,11.99,2.39,19.93
2022-01-05,119000,2.39,11.99,501.67
2022-06-23,125000,11.99,2.39,19.93
2022-07-07,130000,2.39,11.99,501.67
