date,Owners,Price,PriceChangeTo,discount
2018-01-23,11000,0.0,19.99,
2018-04-30,22000,19.99,17.99,89.99
2018-05-07,24000,17.99,19.99,111.12
2018-06-21,27000,19.99,16.99,84.99
2018-07-05,32000,16.99,19.99,117.66
2018-09-03,31000,19.99,15.99,79.99
2018-09-10,33000,15.99,19.99,125.02
2018-10-29,32000,19.99,14.99,74.99
2018-11-01,33000,14.99,19.99,133.36
2018-11-05,34000,19.99,14.99,74.99
2018-11-12,35000,14.99,19.99,133.36
2018-11-21,34000,19.99,14.99,74.99
2018-11-27,43000,14.99,19.99,133.36
2018-12-20,39000,19.99,13.99,69.98
2019-01-03,55000,13.99,19.99,142.89
2019-02-04,45000,19.99,13.39,66.98
2019-02-11,50000,13.39,19.99,149.29
2019-04-19,50000,19.99,15.99,79.99
2019-04-25,53000,15.99,19.99,125.02
2019-06-25,53000,19.99,11.99,59.98
2019-07-09,61000,11.99,19.99,166.72
2019-07-22,60000,19.99,13.99,69.98
2019-07-29,62000,13.99,19.99,142.89
2019-09-09,63000,19.99,9.99,49.97
2019-09-16,68000,9.99,19.99,200.1
2019-10-28,67000,19.99,7.99,39.97
2019-11-01,72000,7.99,19.99,250.19
2019-11-10,71000,19.99,7.99,39.97
2019-11-18,75000,7.99,19.99,250.19
2019-11-26,72000,19.99,7.99,39.97
2019-12-03,76000,7.99,19.99,250.19
2019-12-19,74000,19.99,7.99,39.97
2020-01-02,83000,7.99,19.99,250.19
2020-01-06,31000,19.99,11.99,59.98
2020-01-13,82000,11.99,19.99,166.72
2020-01-23,73000,19.99,11.99,59.98
2020-01-27,75000,11.99,19.99,166.72
2020-03-15,91000,19.99,7.99,39.97
2020-03-28,96000,7.99,19.99,250.19
2020-05-11,100000,19.99,5.99,29.96
2020-05-18,120000,5.99,19.99,333.72
2020-06-04,221000,19.99,6.79,33.97
2020-06-08,125000,6.79,19.99,294.4
2020-06-24,112000,19.99,5.99,29.96
2020-07-09,135000,5.99,19.99,333.72
2020-08-10,132000,19.99,7.99,39.97
2020-08-17,136000,7.99,19.99,250.19
2020-09-27,144000,19.99,6.79,33.97
2020-10-04,162000,6.79,19.99,294.4
2020-10-29,151000,19.99,5.99,29.96
2020-11-02,165000,5.99,19.99,333.72
2020-11-25,161000,19.99,5.99,29.96
2020-12-01,171000,5.99,19.99,333.72
2020-12-22,179000,19.99,5.99,29.96
2021-01-05,93000,5.99,19.99,333.72
2021-02-11,191000,19.99,7.99,39.97
2021-02-15,195000,7.99,19.99,250.19
2021-02-22,196000,19.99,7.99,39.97
2021-03-01,50000,7.99,19.99,250.19
2021-04-12,206000,19.99,7.99,39.97
2021-04-19,211000,7.99,19.99,250.19
2021-06-24,213000,19.99,5.99,29.96
2021-07-08,141000,5.99,19.99,333.72
2021-10-11,168000,19.99,5.99,29.96
2021-10-18,249000,5.99,19.99,333.72
2021-10-28,239000,19.99,5.99,29.96
2021-11-01,247000,5.99,19.99,333.72
2021-11-24,240000,19.99,5.99,29.96
2021-12-01,250000,5.99,19.99,333.72
2021-12-22,249000,19.99,5.99,29.96
2022-01-05,258000,5.99,19.99,333.72
2022-01-27,253000,19.99,6.79,33.97
2022-02-03,257000,6.79,19.99,294.4
2022-04-04,254000,19.99,6.79,33.97
2022-04-11,260000,6.79,19.99,294.4
2022-05-16,259000,19.99,6.79,33.97
2022-05-23,265000,6.79,19.99,294.4
2022-06-23,262000,19.99,5.99,29.96
2022-07-06,269000,5.99,19.99,333.72
2022-10-03,279000,19.99,7.99,39.97
2022-10-10,280000,7.99,19.99,250.19
