date,Owners,Price,PriceChangeTo,discount
2017-01-13,29000,0.0,14.99,
2017-06-22,160000,14.99,11.99,79.99
2017-07-05,187000,11.99,14.99,125.02
2017-07-08,191000,14.99,11.99,79.99
2017-07-10,194000,11.99,14.99,125.02
2017-11-22,206000,14.99,11.99,79.99
2017-11-28,210000,11.99,14.99,125.02
2017-12-21,218000,14.99,9.74,64.98
2018-01-04,232000,9.74,14.99,153.9
2018-03-20,248000,14.99,19.99,133.36
2018-06-21,227000,19.99,11.99,59.98
2018-07-05,235000,11.99,19.99,166.72
2018-10-29,237000,19.99,11.99,59.98
2018-11-01,238000,11.99,19.99,166.72
2018-11-21,239000,19.99,11.99,59.98
2018-11-27,249000,11.99,19.99,166.72
2018-12-20,252000,19.99,11.99,59.98
2019-01-03,255000,11.99,19.99,166.72
2019-02-04,257000,19.99,11.99,59.98
2019-02-11,259000,11.99,19.99,166.72
2019-06-25,279000,19.99,11.99,59.98
2019-07-09,319000,11.99,19.99,166.72
2019-08-29,323000,19.99,11.99,59.98
2019-09-04,328000,11.99,19.99,166.72
2019-10-17,329000,19.99,11.99,59.98
2019-10-20,332000,11.99,19.99,166.72
2019-10-28,332000,19.99,11.99,59.98
2019-11-01,334000,11.99,19.99,166.72
2019-11-10,338000,19.99,11.99,59.98
2019-11-12,338000,11.99,19.99,166.72
2019-11-20,340000,19.99,11.99,59.98
2019-11-25,344000,11.99,19.99,166.72
2019-11-26,344000,19.99,11.99,59.98
2019-12-03,347000,11.99,19.99,166.72
2019-12-19,351000,19.99,11.99,59.98
2020-01-02,360000,11.99,19.99,166.72
2020-01-23,333000,19.99,11.99,59.98
2020-01-27,329000,11.99,19.99,166.72
2020-03-24,329000,19.99,11.99,59.98
2020-04-01,334000,11.99,19.99,166.72
2020-06-24,339000,19.99,9.59,47.97
2020-07-09,344000,9.59,19.99,208.45
2020-10-29,251000,19.99,9.59,47.97
2020-11-02,350000,9.59,19.99,208.45
2020-11-25,350000,19.99,9.59,47.97
2020-12-01,352000,9.59,19.99,208.45
2020-12-22,353000,19.99,9.59,47.97
2021-01-05,355000,9.59,19.99,208.45
2021-02-11,355000,19.99,9.59,47.97
2021-02-18,356000,9.59,19.99,208.45
2021-03-25,349000,19.99,11.99,59.98
2021-03-29,352000,11.99,19.99,166.72
2021-05-27,355000,19.99,8.79,43.97
2021-05-31,357000,8.79,19.99,227.42
2021-06-24,358000,19.99,8.79,43.97
2021-07-08,360000,8.79,19.99,227.42
2021-10-28,366000,19.99,9.59,47.97
2021-11-01,366000,9.59,19.99,208.45
2021-11-24,367000,19.99,9.59,47.97
2021-12-01,369000,9.59,19.99,208.45
2021-12-22,370000,19.99,9.59,47.97
2022-01-05,374000,9.59,19.99,208.45
2022-01-27,375000,19.99,9.59,47.97
2022-02-03,377000,9.59,19.99,208.45
2022-02-28,378000,19.99,9.59,47.97
2022-03-07,380000,9.59,19.99,208.45
2022-06-23,392000,19.99,8.79,43.97
2022-07-06,396000,8.79,19.99,227.42
