date,Owners,Price,PriceChangeTo,discount
2016-10-20,,0.0,5.99,
2016-10-27,17000,5.99,9.99,166.78
2016-10-28,18000,9.99,7.99,79.98
2016-11-01,21000,7.99,9.99,125.03
2016-11-23,21000,9.99,8.49,84.98
2016-11-29,24000,8.49,9.99,117.67
2016-12-22,29000,9.99,7.99,79.98
2017-01-02,32000,7.99,9.99,125.03
2017-01-16,30000,9.99,8.99,89.99
2017-01-23,33000,8.99,9.99,111.12
2017-03-20,32000,9.99,7.99,79.98
2017-03-27,34000,7.99,9.99,125.03
2017-05-22,37000,9.99,6.99,69.97
2017-05-29,39000,6.99,9.99,142.92
2017-06-22,37000,9.99,5.99,59.96
2017-07-05,38000,5.99,9.99,166.78
2017-07-28,38000,9.99,7.49,74.97
2017-08-07,43000,7.49,9.99,133.38
2017-10-07,39000,9.99,7.49,74.97
2017-10-16,40000,7.49,9.99,133.38
2017-10-27,45000,9.99,6.99,69.97
2017-11-01,42000,6.99,9.99,142.92
2017-11-22,41000,9.99,7.49,74.97
2017-11-29,44000,7.49,9.99,133.38
2017-12-11,42000,9.99,8.99,89.99
2017-12-19,42000,8.99,9.99,111.12
2017-12-21,43000,9.99,4.99,49.95
2018-01-04,47000,4.99,9.99,200.2
2018-02-15,41000,9.99,7.99,79.98
2018-02-19,42000,7.99,9.99,125.03
2018-02-24,46000,9.99,8.49,84.98
2018-03-05,49000,8.49,9.99,117.67
2018-05-02,50000,9.99,6.99,69.97
2018-05-14,51000,6.99,9.99,142.92
2018-06-21,59000,9.99,4.49,44.94
2018-07-05,66000,4.49,9.99,222.49
2018-07-09,67000,9.99,7.49,74.97
2018-07-16,69000,7.49,9.99,133.38
2018-09-10,87000,9.99,6.49,64.96
2018-09-17,87000,6.49,9.99,153.93
2018-10-29,91000,9.99,5.99,59.96
2018-11-01,93000,5.99,9.99,166.78
2018-11-12,95000,9.99,3.99,39.94
2018-11-19,97000,3.99,9.99,250.38
2018-11-21,97000,9.99,6.99,69.97
2018-11-27,98000,6.99,9.99,142.92
2018-12-20,102000,9.99,4.99,49.95
2019-01-03,107000,4.99,9.99,200.2
2019-02-04,109000,9.99,4.99,49.95
2019-02-11,110000,4.99,9.99,200.2
2019-03-11,116000,9.99,6.99,69.97
2019-03-18,116000,6.99,9.99,142.92
2019-05-13,122000,9.99,6.49,64.96
2019-05-28,127000,6.49,9.99,153.93
2019-06-25,129000,9.99,3.99,39.94
2019-07-09,133000,3.99,9.99,250.38
2019-07-22,135000,9.99,5.99,59.96
2019-07-29,135000,5.99,9.99,166.78
2019-09-09,140000,9.99,5.49,54.95
2019-09-16,141000,5.49,9.99,181.97
2019-10-28,144000,9.99,3.49,34.93
2019-10-31,146000,3.49,9.99,286.25
2019-11-02,146000,9.99,7.49,74.97
2019-11-12,147000,7.49,9.99,133.38
2019-11-26,148000,9.99,7.49,74.97
2019-12-03,123000,7.49,9.99,133.38
2019-12-19,148000,9.99,3.99,39.94
2020-01-02,148000,3.99,9.99,250.38
2020-01-06,148000,9.99,6.99,69.97
2020-01-13,148000,6.99,9.99,142.92
2020-01-23,136000,9.99,4.99,49.95
2020-01-27,135000,4.99,9.99,200.2
2020-03-02,135000,9.99,7.99,79.98
2020-03-09,136000,7.99,9.99,125.03
2020-04-20,140000,9.99,7.99,79.98
2020-04-28,144000,7.99,9.99,125.03
2020-06-08,120000,9.99,6.99,69.97
2020-06-14,149000,6.99,9.99,142.92
2020-06-25,150000,9.99,3.99,39.94
2020-07-09,146000,3.99,9.99,250.38
2020-08-03,120000,9.99,6.99,69.97
2020-08-10,121000,6.99,9.99,142.92
2020-09-21,125000,9.99,6.99,69.97
2020-09-28,127000,6.99,9.99,142.92
2020-10-29,133000,9.99,5.99,59.96
2020-11-02,133000,5.99,9.99,166.78
2020-11-09,135000,9.99,5.99,59.96
2020-11-16,136000,5.99,9.99,166.78
2020-11-25,137000,9.99,5.99,59.96
2020-12-01,138000,5.99,9.99,166.78
2020-12-22,140000,9.99,3.99,39.94
2021-01-05,142000,3.99,9.99,250.38
2021-01-11,143000,9.99,4.99,49.95
2021-01-18,145000,4.99,9.99,200.2
2021-02-12,148000,9.99,6.99,69.97
2021-02-14,148000,6.99,9.99,142.92
2021-03-01,100000,9.99,4.99,49.95
2021-03-08,149000,4.99,9.99,200.2
2021-04-26,147000,9.99,5.99,59.96
2021-05-03,152000,5.99,9.99,166.78
2021-06-14,114000,9.99,4.99,49.95
2021-06-21,154000,4.99,9.99,200.2
2021-06-24,116000,9.99,3.99,39.94
2021-07-08,155000,3.99,9.99,250.38
2021-08-02,156000,9.99,4.99,49.95
2021-08-09,156000,4.99,9.99,200.2
2021-09-20,156000,9.99,4.99,49.95
2021-09-27,156000,4.99,9.99,200.2
2021-10-28,157000,9.99,6.49,64.96
2021-11-01,158000,6.49,9.99,153.93
2021-11-08,159000,9.99,4.99,49.95
2021-11-15,130000,4.99,9.99,200.2
2021-11-24,160000,9.99,5.49,54.95
2021-12-01,160000,5.49,9.99,181.97
